City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Kargasok,RU,59.0556,80.8572,35.83,88,100,10.2,overcast clouds
292,Lasa,IT,46.6166,10.7002,58.08,98,100,6.04,overcast clouds
293,Baghdad,IQ,33.3406,44.4009,75.11,35,0,9.22,clear sky
294,Sembe,CG,1.6481,14.5806,68.52,99,97,1.28,light rain
295,Sinnamary,GF,5.3833,-52.95,78.67,80,9,11.63,clear sky
296,Makarov,RU,48.6333,142.8,50.13,64,79,5.39,broken clouds
297,Abaza,RU,52.655,90.0928,45.37,37,96,2.06,overcast clouds
298,Bengkulu,ID,-3.8004,102.2655,82.96,70,72,6.89,broken clouds
299,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,75.87,76,38,2.84,scattered clouds
300,Limoeiro Do Ajuru,BR,-1.8953,-49.3806,76.78,88,40,7.61,scattered clouds
301,Hasaki,JP,35.7333,140.8333,82.8,72,2,14.5,clear sky
302,Zeya,RU,53.75,127.2667,46.45,39,1,5.61,clear sky
303,Jaslo,PL,49.7451,21.4725,53.38,60,7,11.68,clear sky
304,Wloclawek,PL,52.6482,19.0678,50.41,80,73,7.29,broken clouds
305,Arkhipo-Osipovka,RU,44.37,38.52,53.82,91,100,12.12,moderate rain
306,Genhe,CN,50.7833,121.5167,49.1,36,62,5.59,broken clouds
307,Rangapara,IN,26.8167,92.65,76.26,95,99,3.0,overcast clouds
308,Hualmay,PE,-11.0964,-77.6139,61.3,85,55,8.3,broken clouds
309,Marang,MY,5.2056,103.2059,89.51,66,95,4.81,overcast clouds
310,Ocos,GT,14.5094,-92.1933,81.0,82,31,4.9,scattered clouds
311,Sangar,RU,63.9242,127.4739,39.9,53,67,11.45,broken clouds
312,Bathsheba,BB,13.2167,-59.5167,83.01,69,40,23.02,scattered clouds
313,San Isidro,PE,-12.1167,-77.05,59.5,80,90,1.01,overcast clouds
314,Ustrzyki Dolne,PL,49.4304,22.5938,50.13,100,3,6.11,clear sky
315,Ilulissat,GL,69.2167,-51.1,18.59,79,82,5.03,broken clouds
316,Richards Bay,ZA,-28.783,32.0377,58.95,81,100,4.83,light rain
317,Yulara,AU,-25.2406,130.9889,80.44,14,0,10.36,clear sky
318,Esperance,AU,-33.8667,121.9,67.84,42,0,8.28,clear sky
319,Inirida,CO,3.8653,-67.9239,76.71,90,100,2.91,overcast clouds
320,Rio Grande,BR,-32.035,-52.0986,53.94,74,82,13.69,broken clouds
321,Sinjai,ID,-5.1241,120.253,86.61,58,11,8.7,few clouds
322,Sioux Lookout,CA,50.1001,-91.917,52.18,100,1,2.3,clear sky
323,Nishihara,JP,26.1842,127.7558,87.85,64,40,19.57,scattered clouds
324,San Patricio,US,28.017,-97.5169,80.83,81,98,2.57,overcast clouds
325,Marawi,PH,7.9986,124.2928,73.65,87,100,6.31,light rain
